Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release
0,"[3745.401188473625, 9507.143064099162, 7319.939418114051, 2394.6339367881465]",7386169817.270115,2924.986287946959,35229596.789011724,4637.5984862033,90071617.43033712,4724.241437559642,128473405290.77448,3883.485265229632
1,"[1560.1864044243653, 1559.9452033620264, 580.8361216819947, 3464.704583099741]",3735623316.244174,1560.1864044243484,57909297.45476274,1559.9452033620078,122829943.51974072,1495.826672583888,131627337332.14073,3783.87647540068
2,"[6011.150117432088, 7080.725777960455, 205.84494295802446, 3879.6394086479772]",361307919.9455288,1305.5199733613072,30665370.77095246,1323.5063288477113,100597704.85181452,1304.361532974507,125274290756.96542,3879.639408647869
3,"[8324.426408004218, 2123.3911067827617, 1818.2496720710062, 733.6180394137352]",74197079.70134307,161.59044487360705,27469667.3948653,169.51889377812995,656433.2627484229,187.68712146854503,119922638312.86832,3478.3316126697127
4,"[3042.4224295953773, 5247.5643163223785, 4319.450186421158, 1164.9165607921677]",82859293.0452715,80.2662142237712,27261725.471181292,93.85621228337754,270740.6622458368,61.67591950468327,113155188778.88979,3231.6668278249285
5,"[6118.528947223795, 1394.9386065204183, 2921.4464853521818, 1465.4473731747669]",240122889.47011748,192.1743366378243,27699577.7480086,250.49604380246697,762585.108255736,173.12506524759027,106578579036.43733,2960.9628077334955
6,"[4560.699842170359, 7851.759613930136, 1996.7378215835975, 2056.9377536544466]",953693676.1492964,739.7460372551152,29603843.675720707,932.2695118473049,3673437.9271105435,833.7854085833704,99932651446.33276,2692.468167262749
7,"[5924.145688620425, 464.50412719997723, 6075.448519014383, 682.0964947491661]",2102030497.7094672,1731.1980742623525,1292447398.8761377,1678.6242400870926,6973943.11384754,1583.7547565849088,96519413606.48582,2489.56675502302
8,"[650.5159298527951, 9488.855372533333, 9656.320330745593, 3233.5893924658444]",4813167974.194876,650.5159298527958,29961028.991487157,1547.992181957718,6583557.181709432,1496.4136033373445,99772418340.3843,3233.589392465863
9,"[3046.137691733707, 976.7211400638387, 6842.330265121569, 1760.6099749584052]",1671555932.944747,2096.0835913450856,1296906629.7597911,1885.0959705217417,8198199.631459927,1862.624441606047,102523213725.15355,2610.5656533328784
10,"[1220.3823484477882, 4951.769101112702, 343.88521115218396, 3637.2816083151283]",480261393.54205924,831.4681531505149,29587177.65294831,1415.2516598578616,103432670.24252638,1286.6260143523393,101097365098.83672,3637.2816083150906
11,"[2587.7998160001694, 6625.22284353982, 3117.1107608941097, 2080.272084711243]",211535467.10404128,291.96957854900324,28007389.125669263,361.54634643029783,1404375.5030784542,357.24303135336515,99080240622.97238,2565.787297971427
12,"[5467.102793432797, 1848.5445552552703, 9695.846277645585, 3100.5312934444582]",114761522.71192092,143.7192439929654,27498493.7308054,178.80475810833906,616665.40638103,140.44521081314042,93256576402.18677,3100.5312934444382
13,"[9394.98941564189, 8948.273504276489, 5978.999788110851, 3687.4969400924674]",72564995.53787349,85.86908261294491,27278525.09699642,99.88895744773671,236451.473540609,53.89607700442811,86184371288.17262,3687.496940092548
14,"[884.925020519195, 1959.828624191452, 452.27288910538067, 1301.3213230530573]",53481179.32180551,59.18868837771911,27190622.603763826,68.33460230697001,198935.00296153396,45.226501855077416,82294268795.94412,1921.6356382963143
15,"[3886.77289689482, 2713.490317738959, 8287.375091519294, 1427.013306774357]",51460684.81681028,52.07570100342801,27192727.52323864,69.05518392795472,214579.50755313959,48.76203675737293,78800467656.54825,1771.9314190248629
16,"[2809.3450968738075, 5426.960831582484, 1409.2422497476264, 3208.787923016159]",81313451.6078011,72.37686989878976,27257024.522648543,92.0701811554287,262884.8707183383,59.72853267110465,72199268322.6923,3208.7879230162284
17,"[745.5064367977083, 9868.869366005172, 7722.447692966574, 794.8627261366896]",240007768.59725085,191.622999233353,27875712.86916796,313.5370674011659,1039923.8999809476,236.04660543771809,70153704952.21938,1392.0351718916666
18,"[55.22117123602399, 8154.614284548342, 7068.573438476171, 2916.028672163949]",2393818272.9907103,202.07805465588953,28344793.19227832,481.67629782032475,1690720.538912725,384.01167086354565,63349313428.84268,2916.028672164006
19,"[7712.703466859457, 740.4465173409036, 3584.657285442726, 463.47623810051886]",2673763005.3720818,2055.3948545527533,1303354200.1817002,2179.0498611697903,9175883.734710934,2082.6333825446723,63960436213.731895,1087.7194626470286
20,"[8631.034258755935, 6232.981268275579, 3308.980248526492, 254.23340114409453]",1864910444.818503,2008.9651357532832,34087597.18062087,3029.1416311474422,13100460.677405423,2975.863350931365,75869971844.88931,1346.1077630817492
21,"[3109.823217156622, 3251.8332202674706, 7296.061783380641, 2550.2298854208525]",991765352.8337002,1253.2798747453658,31354441.889552165,1561.2559121371064,6773521.046784623,1541.7984562226518,84803514751.80276,2550.229885420843
22,"[8872.127425763265, 4722.149251619493, 1195.942459383017, 2852.97914889198]",419126045.2874155,593.5503536920567,29163834.740728512,776.1664673333481,3023241.309168547,688.5466843449085,83813767875.536,2852.979148891915
23,"[7607.850486168974, 5612.771975694963, 7709.67179954561, 1975.182385457563]",207381567.1013192,270.7601892611874,27976856.848809306,350.45970379695433,1355617.7401651447,308.71731776095396,81945489719.2225,1975.1823854576153
24,"[5227.328293819941, 4275.410183585496, 254.1912674409519, 431.5657079732178]",114479685.62498705,142.2787673631016,27506823.790934492,181.77498407949713,629730.0593788064,143.39135883934918,79824047508.80154,1786.1536764410973
25,"[314.2918568673425, 6364.104112637804, 3143.559810763267, 2034.2827646588112]",72540211.06251283,85.76325236068561,27286823.995679285,102.86253997956727,249530.29125271607,56.8685297224517,76806055252.37634,2034.2827646588564
26,"[9075.66473926093, 2492.9222914887496, 4103.829230356298, 3022.2045541721945]",53479502.05151374,59.18010029982505,27179685.891157363,64.42306181205394,181731.42935842666,41.32790018029796,70050350890.7648,3022.2045541722405
27,"[2287.9816549162247, 769.79909828793, 2897.5145291376803, 644.8851490160176]",51460560.93192748,52.07510428520264,27180264.734086685,64.59024380760948,194942.06273014037,44.299919712994,67884854908.098915,1302.3391263066171
28,"[9296.97652342573, 8081.20379564417, 6334.037565104235, 3485.8423607508707]",81313443.18490084,72.37682691174166,27320291.856318742,114.71115937649586,362470.3718330922,82.31710390848558,60666581255.800896,3485.842360750835
29,"[8036.720768991145, 1865.7005888603585, 8925.589984899778, 2157.3689676626027]",240007767.96998614,191.62299622925403,27697241.966294724,249.6826082711804,759006.4204286643,172.34849291779963,56841598343.86734,2157.368967662536
30,"[8074.401551640625, 8960.912999234932, 3180.034749718639, 440.20769811070704]",953685787.5195452,739.7059970930461,29751610.577062294,985.1596725439915,3906166.1214009393,886.589949022541,55869403859.33367,787.8950674114284
31,"[2279.351625419417, 4271.077886262563, 8180.147659224931, 3442.922333025374]",2102029521.069473,1731.1954936822135,33037858.772034444,2162.191871201058,9101706.297692921,2066.629755955388,51924365678.12588,3442.922333025347
